Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	efae736b-2a02-482c-98ea-bd85a43c7b37
Plate Name	zyo_etd_72h_scan_with_calcein
Measurement	Measurement1
Evaluation	Evaluation3

[Data]
Row	Column	Plane	Timepoint	Life Stain All - Number of Objects	Life Stain - Number of Objects	Life Stain - Intensity life Mean - Mean per Well	Life Stain - Intensity life Mean - StdDev per Well	Life Stain - Intensity life Mean - Sum per Well	Life Stain - Intensity life Mean - Max per Well	Life Stain - Intensity life Mean - Min per Well	Life Stain - Intensity life Mean - Median per Well	Dead Stain All - Number of Objects	Dead Stain - Number of Objects	Dead Stain - Intensity dead Mean - Mean per Well	Dead Stain - Intensity dead Mean - StdDev per Well	Dead Stain - Intensity dead Mean - Sum per Well	Dead Stain - Intensity dead Mean - Max per Well	Dead Stain - Intensity dead Mean - Min per Well	Dead Stain - Intensity dead Mean - Median per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
3	2	1	0	3004	3004	8404.39030572	2067.56762996	25246788.4784	14564.9423792	1807.01324503	8256.29574966	84	26	508.322317649	198.081065521	13216.3802589	1056.28205128	248.584487535	459.191447418	15	0	0					
3	3	1	0	3418	3418	8858.27325884	2040.98332272	30277577.9987	14647.587156	1749.97419355	8774.90264563	85	27	542.041475779	357.330675216	14635.119846	1835.54545455	210.0234375	401.678571429	15	0	0					
3	4	1	0	3443	3443	8840.68125257	2040.85897846	30438465.5526	14461.8546256	1892.30212766	8747.13504557	88	32	525.506320643	219.420048618	16816.2022606	1062.04132231	202.759433962	501.117575122	15	0	0					
3	5	1	0	4555	4555	8261.27158265	1923.14713646	37630092.059	15301.8133333	1776.49795918	8086.85887097	78	19	515.087473084	212.860301475	9786.6619886	871.414285714	208.074324324	486.609589041	15	0	0					
3	6	1	0	5608	5608	7992.04121208	1800.59116823	44819367.1173	14800.1857529	1808.47272727	7764.44805957	85	16	445.337414219	232.295050083	7125.3986275	1176.5	206.561904762	402.701126194	15	0	0					
3	7	1	0	4827	4827	8240.60888648	1928.12588911	39777419.095	15778.5442308	2482.12605042	8104.30027548	73	20	601.216267315	214.144412148	12024.3253463	1215.87037037	223.421917808	607.546678322	15	0	0					
3	8	1	0	7020	7020	8084.10762335	1822.23235574	56750435.5159	15031.5857741	2806.90804598	7858.2610416	107	26	493.732337222	201.127808241	12837.0407678	1094.67088608	216.393782383	468.90137486	15	0	0					
3	9	1	0	6877	6877	8609.38762297	1843.54942493	59206758.6832	15235.1604096	2058.89244186	8404.37473684	110	17	490.800302931	253.216039886	8343.60514982	1048.32407407	223.588235294	373.774319066	15	0	0					
3	10	1	0	5250	5250	9120.18725947	1947.70091553	47880983.1122	15968.8465347	2714.69162996	8984.1475874	81	22	470.752754772	229.569293995	10356.560605	922.955555556	211.67953668	440.62054409	15	0	0					
4	2	1	0	2	2	1278.91439301	212.498020591	2557.82878602	1429.17318436	1128.65560166	1278.91439301	3434	2826	354.044038622	106.080019757	1000528.45315	1456.83076923	200.004132231	342.710546398	15	0	0					
